uri,constituency > label,election > label,electorate,majority,result of election,turnout
http://data.parliament.uk/resources/1223269,Garston and Halewood,2019 General Election,76116,31624,Lab Hold,53326
http://data.parliament.uk/resources/1223270,Gateshead,2019 General Election,64449,7200,Lab Hold,38145
http://data.parliament.uk/resources/1223271,Gedling,2019 General Election,71366,679,Con Gain,49953
http://data.parliament.uk/resources/1223272,Gillingham and Rainham,2019 General Election,73549,15119,Con Hold,45958
http://data.parliament.uk/resources/1223273,Gloucester,2019 General Election,81319,10277,Con Hold,53764
http://data.parliament.uk/resources/1223274,Gosport,2019 General Election,73541,23278,Con Hold,48453
http://data.parliament.uk/resources/1223275,Gower,2019 General Election,61762,1837,Lab Hold,44482
http://data.parliament.uk/resources/1223276,Grantham and Stamford,2019 General Election,81502,26003,Con Hold,56003
http://data.parliament.uk/resources/1223277,Gravesham,2019 General Election,73242,15581,Con Hold,47560
http://data.parliament.uk/resources/1223278,Great Grimsby,2019 General Election,61409,7331,Con Gain,33087
http://data.parliament.uk/resources/1223279,Great Yarmouth,2019 General Election,71957,17663,Con Hold,43462
http://data.parliament.uk/resources/1223280,Greenwich and Woolwich,2019 General Election,79997,18464,Lab Hold,53120
http://data.parliament.uk/resources/1223281,Guildford,2019 General Election,77729,3337,Con Hold,58651
http://data.parliament.uk/resources/1223282,Hackney North and Stoke Newington,2019 General Election,92462,33188,Lab Hold,56864
http://data.parliament.uk/resources/1223283,Hackney South and Shoreditch,2019 General Election,89387,33985,Lab Hold,54439
http://data.parliament.uk/resources/1223284,Halesowen and Rowley Regis,2019 General Election,68300,12074,Con Hold,42345
http://data.parliament.uk/resources/1223285,Halifax,2019 General Election,71887,2569,Lab Hold,46458
